driver_id,driver_type,total_hours,num_blocks,num_tours,num_days,days_worked,idle_minutes
FTE001,FTE,40.5,4,9,4,"Fri,Mon,Tue,Wed",0.0
FTE002,FTE,40.5,4,9,4,"Fri,Mon,Tue,Wed",0.0
FTE003,FTE,40.5,4,9,4,"Fri,Mon,Tue,Wed",0.0
FTE004,FTE,40.5,4,9,4,"Fri,Mon,Tue,Wed",0.0
FTE005,FTE,40.5,4,9,4,"Fri,Mon,Tue,Wed",0.0
FTE006,PT,36.0,3,8,3,"Fri,Mon,Tue",0.0
FTE007,PT,36.0,3,8,3,"Fri,Mon,Tue",0.0
FTE008,PT,36.0,3,8,3,"Fri,Mon,Tue",0.0
FTE009,FTE,40.5,4,9,4,"Fri,Mon,Tue,Wed",0.0
FTE010,FTE,40.5,4,9,4,"Fri,Mon,Tue,Wed",0.0
FTE011,FTE,40.5,4,9,4,"Fri,Mon,Tue,Wed",0.0
FTE012,FTE,40.5,4,9,4,"Fri,Mon,Tue,Wed",0.0
FTE013,PT,36.0,3,8,3,"Fri,Mon,Tue",0.0
FTE014,FTE,40.5,4,9,4,"Fri,Mon,Tue,Wed",0.0
FTE015,PT,36.0,3,8,3,"Fri,Mon,Tue",0.0
FTE016,PT,36.0,3,8,3,"Fri,Mon,Tue",0.0
FTE017,PT,36.0,3,8,3,"Fri,Mon,Tue",0.0
FTE018,PT,36.0,3,8,3,"Fri,Mon,Tue",0.0
FTE019,PT,27.0,3,6,3,"Fri,Mon,Tue",0.0
FTE020,PT,36.0,4,8,4,"Fri,Mon,Tue,Wed",0.0
FTE021,PT,36.0,4,8,4,"Fri,Mon,Tue,Wed",0.0
FTE022,PT,31.5,3,7,3,"Fri,Mon,Tue",0.0
FTE023,PT,36.0,4,8,4,"Fri,Mon,Tue,Wed",0.0
FTE024,PT,36.0,4,8,4,"Fri,Mon,Tue,Wed",0.0
FTE025,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE026,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE027,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE028,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE029,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE030,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE031,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE032,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE033,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE034,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE035,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE036,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE037,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE038,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE039,PT,36.0,4,8,4,"Fri,Mon,Tue,Wed",0.0
FTE040,PT,36.0,4,8,4,"Fri,Mon,Tue,Wed",0.0
FTE041,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE042,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE043,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE044,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE045,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE046,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE047,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE048,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE049,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE050,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE051,PT,31.48,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE052,PT,31.48,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE053,PT,26.98,3,6,3,"Fri,Mon,Tue",0.0
FTE054,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE055,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE056,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE057,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE058,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE059,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE060,PT,36.0,4,8,4,"Fri,Mon,Tue,Wed",0.0
FTE061,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE062,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE063,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE064,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE065,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE066,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE067,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE068,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE069,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE070,PT,31.5,4,7,4,"Fri,Mon,Tue,Wed",0.0
FTE071,PT,26.97,3,6,3,"Fri,Mon,Tue",0.0
FTE072,PT,26.97,3,6,3,"Fri,Mon,Tue",0.0
FTE073,PT,26.97,3,6,3,"Fri,Mon,Tue",0.0
FTE074,PT,22.48,3,5,3,"Fri,Mon,Tue",0.0
FTE075,PT,22.48,3,5,3,"Fri,Mon,Tue",0.0
FTE076,PT,22.48,3,5,3,"Fri,Mon,Tue",0.0
FTE077,PT,22.48,3,5,3,"Fri,Mon,Tue",0.0
FTE078,PT,27.0,4,6,4,"Fri,Mon,Tue,Wed",0.0
FTE079,PT,27.0,4,6,4,"Fri,Mon,Tue,Wed",0.0
FTE080,PT,22.5,3,5,3,"Fri,Mon,Tue",0.0
FTE081,PT,22.5,3,5,3,"Fri,Mon,Tue",0.0
FTE082,PT,22.5,3,5,3,"Fri,Mon,Tue",0.0
FTE083,PT,22.5,3,5,3,"Fri,Mon,Tue",0.0
FTE084,PT,22.5,3,5,3,"Fri,Mon,Tue",0.0
FTE085,PT,22.5,3,5,3,"Fri,Mon,Tue",0.0
FTE086,PT,22.5,3,5,3,"Fri,Mon,Tue",0.0
FTE087,PT,22.5,3,5,3,"Fri,Mon,Tue",0.0
