driver_id,driver_type,total_hours,num_blocks,num_tours,num_days,days_worked,idle_minutes
FTE001,FTE,49.5,4,11,4,"Fri,Mon,Sat,Wed",0.0
FTE002,FTE,49.5,4,11,4,"Mon,Sat,Thu,Wed",0.0
FTE003,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE004,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE005,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE006,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE007,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE008,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE009,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE010,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE011,FTE,49.5,7,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",195.0
FTE012,FTE,49.5,5,11,5,"Fri,Mon,Sat,Tue,Wed",0.0
FTE013,FTE,49.5,5,11,5,"Fri,Mon,Sat,Tue,Wed",0.0
FTE014,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE015,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE016,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE017,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE018,FTE,49.5,5,11,5,"Fri,Mon,Sat,Tue,Wed",0.0
FTE019,FTE,49.5,5,11,5,"Fri,Mon,Sat,Thu,Wed",0.0
FTE020,FTE,49.5,4,11,4,"Mon,Sat,Thu,Tue",0.0
FTE021,FTE,49.5,5,11,5,"Fri,Mon,Thu,Tue,Wed",0.0
FTE022,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE023,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE024,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE025,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE026,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE027,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE028,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE029,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE030,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE031,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE032,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE033,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE034,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE035,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE036,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE037,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE038,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE039,FTE,49.5,5,11,5,"Fri,Mon,Sat,Tue,Wed",0.0
FTE040,FTE,49.5,5,11,5,"Fri,Mon,Sat,Tue,Wed",0.0
FTE041,FTE,49.5,5,11,5,"Fri,Mon,Sat,Tue,Wed",0.0
FTE042,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE043,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE044,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE045,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE046,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE047,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE048,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE049,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE050,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE051,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE052,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE053,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE054,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE055,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE056,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
FTE057,FTE,49.5,7,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",30.0
FTE058,FTE,49.5,6,11,6,"Fri,Mon,Sat,Thu,Tue,Wed",0.0
