tour_id,day,start_min,end_min,duration_min
T_0_210_1,0,210,480,270
T_0_210_2,0,210,480,270
T_0_225_1,0,225,495,270
T_0_225_2,0,225,495,270
T_0_240_1,0,240,510,270
T_0_240_2,0,240,510,270
T_0_255_1,0,255,525,270
T_0_270_1,0,270,540,270
T_0_270_2,0,270,540,270
T_0_285_1,0,285,555,270
T_0_285_2,0,285,555,270
T_0_285_3,0,285,555,270
T_0_300_1,0,300,570,270
T_0_300_2,0,300,570,270
T_0_300_3,0,300,570,270
T_0_300_4,0,300,570,270
T_0_300_5,0,300,570,270
T_0_300_6,0,300,570,270
T_0_300_7,0,300,570,270
T_0_300_8,0,300,570,270
T_0_300_9,0,300,570,270
T_0_300_10,0,300,570,270
T_0_315_1,0,315,585,270
T_0_315_2,0,315,585,270
T_0_315_3,0,315,585,270
T_0_315_4,0,315,585,270
T_0_315_5,0,315,585,270
T_0_330_1,0,330,600,270
T_0_330_2,0,330,600,270
T_0_330_3,0,330,600,270
T_0_330_4,0,330,600,270
T_0_330_5,0,330,600,270
T_0_330_6,0,330,600,270
T_0_330_7,0,330,600,270
T_0_330_8,0,330,600,270
T_0_330_9,0,330,600,270
T_0_330_10,0,330,600,270
T_0_345_1,0,345,615,270
T_0_345_2,0,345,615,270
T_0_345_3,0,345,615,270
T_0_345_4,0,345,615,270
T_0_345_5,0,345,615,270
T_0_345_6,0,345,615,270
T_0_345_7,0,345,615,270
T_0_345_8,0,345,615,270
T_0_345_9,0,345,615,270
T_0_345_10,0,345,615,270
T_0_345_11,0,345,615,270
T_0_360_1,0,360,630,270
T_0_360_2,0,360,630,270
T_0_360_3,0,360,630,270
T_0_360_4,0,360,630,270
T_0_375_1,0,375,645,270
T_0_390_1,0,390,660,270
T_0_390_2,0,390,660,270
T_0_390_3,0,390,660,270
T_0_390_4,0,390,660,270
T_0_390_5,0,390,660,270
T_0_390_6,0,390,660,270
T_0_390_7,0,390,660,270
T_0_390_8,0,390,660,270
T_0_390_9,0,390,660,270
T_0_390_10,0,390,660,270
T_0_390_11,0,390,660,270
T_0_405_1,0,405,675,270
T_0_405_2,0,405,675,270
T_0_405_3,0,405,675,270
T_0_405_4,0,405,675,270
T_0_405_5,0,405,675,270
T_0_405_6,0,405,675,270
T_0_405_7,0,405,675,270
T_0_405_8,0,405,675,270
T_0_405_9,0,405,675,270
T_0_405_10,0,405,675,270
T_0_405_11,0,405,675,270
T_0_420_1,0,420,690,270
T_0_420_2,0,420,690,270
T_0_420_3,0,420,690,270
T_0_420_4,0,420,690,270
T_0_420_5,0,420,690,270
T_0_420_6,0,420,690,270
T_0_435_1,0,435,705,270
T_0_435_2,0,435,705,270
T_0_450_1,0,450,720,270
T_0_450_2,0,450,720,270
T_0_465_1,0,465,735,270
T_0_465_2,0,465,735,270
T_0_480_1,0,480,750,270
T_0_480_2,0,480,750,270
T_0_495_1,0,495,765,270
T_0_495_2,0,495,765,270
T_0_495_3,0,495,765,270
T_0_495_4,0,495,765,270
T_0_495_5,0,495,765,270
T_0_495_6,0,495,765,270
T_0_495_7,0,495,765,270
T_0_495_8,0,495,765,270
T_0_495_9,0,495,765,270
T_0_495_10,0,495,765,270
T_0_495_11,0,495,765,270
T_0_510_1,0,510,780,270
T_0_510_2,0,510,780,270
T_0_510_3,0,510,780,270
T_0_510_4,0,510,780,270
T_0_510_5,0,510,780,270
T_0_510_6,0,510,780,270
T_0_525_1,0,525,795,270
T_0_525_2,0,525,795,270
T_0_525_3,0,525,795,270
T_0_525_4,0,525,795,270
T_0_525_5,0,525,795,270
T_0_525_6,0,525,795,270
T_0_525_7,0,525,795,270
T_0_525_8,0,525,795,270
T_0_525_9,0,525,795,270
T_0_525_10,0,525,795,270
T_0_540_1,0,540,810,270
T_0_540_2,0,540,810,270
T_0_540_3,0,540,810,270
T_0_540_4,0,540,810,270
T_0_555_1,0,555,825,270
T_0_555_2,0,555,825,270
T_0_555_3,0,555,825,270
T_0_555_4,0,555,825,270
T_0_570_1,0,570,840,270
T_0_570_2,0,570,840,270
T_0_585_1,0,585,855,270
T_0_585_2,0,585,855,270
T_0_585_3,0,585,855,270
T_0_585_4,0,585,855,270
T_0_585_5,0,585,855,270
T_0_585_6,0,585,855,270
T_0_585_7,0,585,855,270
T_0_585_8,0,585,855,270
T_0_585_9,0,585,855,270
