Day;Time;Active Vehicles
Mon;04:45;15
Mon;05:00;25
Mon;05:15;40
Mon;05:30;50
Mon;05:45;58
Mon;06:00;61
Mon;06:15;63
Mon;06:30;65
Mon;06:45;67
Mon;07:00;68
Mon;07:15;70
Mon;07:30;73
Mon;07:45;78
Mon;08:00;83
Mon;08:15;91
Mon;08:30;96
Mon;08:45;101
Mon;09:00;105
Mon;09:15;95
Mon;09:30;87
Mon;09:45;77
Mon;10:00;70
Mon;10:15;65
Mon;10:30;65
Mon;10:45;68
Mon;11:00;71
Mon;11:15;74
Mon;11:30;76
Mon;11:45;76
Mon;12:00;77
Mon;12:15;75
Mon;12:30;72
Mon;12:45;66
Mon;13:00;64
Mon;13:15;61
Mon;13:30;60
Mon;13:45;57
Mon;14:00;60
Mon;14:15;63
Mon;14:30;65
Mon;14:45;67
Mon;15:00;69
Mon;15:15;72
Mon;15:30;75
Mon;15:45;72
Mon;16:00;73
Mon;16:15;74
Mon;16:30;72
Mon;16:45;71
Mon;17:00;73
Mon;17:15;76
Mon;17:30;76
Mon;17:45;79
Mon;18:00;80
Mon;18:15;86
Mon;18:30;87
Mon;18:45;79
Mon;19:00;74
Mon;19:15;69
Mon;19:30;64
Mon;19:45;56
Mon;20:00;48
Mon;20:15;46
Mon;20:30;42
Mon;20:45;39
Mon;21:00;37
Mon;21:15;35
Mon;21:30;31
Mon;21:45;26
Mon;22:00;23
Mon;22:15;18
Mon;22:30;14
Mon;22:45;6
Tue;04:45;6
Tue;05:00;12
Tue;05:15;18
Tue;05:30;26
Tue;05:45;33
Tue;06:00;38
Tue;06:15;40
Tue;06:30;42
Tue;06:45;44
Tue;07:00;46
Tue;07:15;48
Tue;07:30;50
Tue;07:45;52
Tue;08:00;54
Tue;08:15;62
Tue;08:30;71
Tue;08:45;77
Tue;09:00;77
Tue;09:15;72
Tue;09:30;67
Tue;09:45;62
Tue;10:00;56
Tue;10:15;52
Tue;10:30;54
Tue;10:45;57
Tue;11:00;58
Tue;11:15;56
Tue;11:30;54
Tue;11:45;54
Tue;12:00;60
Tue;12:15;62
