driver_id,day,duty_start,duty_end,tour_ids,hours
D_PT001,0,210,480,T_0_210_1,4.5
D_PT002,0,210,480,T_0_210_2,4.5
D_PT003,0,240,510,T_0_240_2,4.5
D_PT004,0,255,525,T_0_255_1,4.5
D_PT005,0,270,540,T_0_270_1,4.5
D_PT006,0,270,540,T_0_270_2,4.5
D_PT007,0,285,555,T_0_285_2,4.5
D_PT008,0,285,555,T_0_285_3,4.5
D_PT009,0,300,570,T_0_300_2,4.5
D_PT010,0,300,570,T_0_300_3,4.5
D_PT011,0,300,570,T_0_300_5,4.5
D_PT012,0,300,570,T_0_300_6,4.5
D_PT013,0,300,570,T_0_300_8,4.5
D_PT014,0,300,570,T_0_300_9,4.5
D_PT015,0,315,585,T_0_315_1,4.5
D_PT016,0,315,585,T_0_315_2,4.5
D_PT017,0,315,585,T_0_315_5,4.5
D_PT018,0,330,600,T_0_330_1,4.5
D_PT019,0,330,600,T_0_330_2,4.5
D_PT020,0,330,600,T_0_330_3,4.5
D_PT021,0,330,600,T_0_330_4,4.5
D_PT022,0,330,600,T_0_330_5,4.5
D_PT023,0,330,600,T_0_330_6,4.5
D_PT024,0,330,600,T_0_330_7,4.5
D_PT025,0,330,600,T_0_330_8,4.5
D_PT026,0,330,600,T_0_330_9,4.5
D_PT027,0,330,600,T_0_330_10,4.5
D_PT028,0,345,615,T_0_345_3,4.5
D_PT029,0,345,615,T_0_345_6,4.5
D_PT030,0,345,615,T_0_345_10,4.5
D_PT031,0,360,630,T_0_360_1,4.5
D_PT032,0,360,630,T_0_360_2,4.5
D_PT033,0,360,630,T_0_360_3,4.5
D_PT034,0,360,630,T_0_360_4,4.5
D_PT035,0,375,645,T_0_375_1,4.5
D_PT036,0,390,660,T_0_390_2,4.5
D_PT037,0,390,660,T_0_390_3,4.5
D_PT038,0,390,660,T_0_390_4,4.5
D_PT039,0,390,660,T_0_390_5,4.5
D_PT040,0,390,660,T_0_390_7,4.5
D_PT041,0,390,660,T_0_390_8,4.5
D_PT042,0,390,660,T_0_390_9,4.5
D_PT043,0,390,660,T_0_390_10,4.5
D_PT044,0,405,675,T_0_405_2,4.5
D_PT045,0,405,675,T_0_405_3,4.5
D_PT046,0,405,675,T_0_405_4,4.5
D_PT047,0,405,675,T_0_405_5,4.5
D_PT048,0,405,675,T_0_405_6,4.5
D_PT049,0,405,675,T_0_405_7,4.5
D_PT050,0,405,675,T_0_405_8,4.5
D_PT051,0,405,675,T_0_405_9,4.5
D_PT052,0,405,675,T_0_405_10,4.5
D_PT053,0,405,675,T_0_405_11,4.5
D_PT054,0,420,690,T_0_420_1,4.5
D_PT055,0,420,690,T_0_420_2,4.5
D_PT056,0,420,690,T_0_420_5,4.5
D_PT057,0,435,705,T_0_435_1,4.5
D_PT058,0,450,720,T_0_450_2,4.5
D_PT059,0,465,735,T_0_465_1,4.5
D_PT060,0,465,735,T_0_465_2,4.5
D_PT061,0,480,750,T_0_480_2,4.5
D_PT062,0,495,765,T_0_495_2,4.5
D_PT063,0,495,765,T_0_495_3,4.5
D_PT064,0,495,765,T_0_495_4,4.5
D_PT065,0,495,765,T_0_495_6,4.5
D_PT066,0,495,765,T_0_495_7,4.5
D_PT067,0,495,765,T_0_495_9,4.5
D_PT068,0,495,765,T_0_495_10,4.5
D_PT069,0,510,780,T_0_510_3,4.5
D_PT070,0,510,780,T_0_510_4,4.5
D_PT071,0,510,780,T_0_510_5,4.5
D_PT072,0,510,780,T_0_510_6,4.5
D_PT073,0,525,795,T_0_525_1,4.5
D_PT074,0,525,795,T_0_525_2,4.5
D_PT075,0,525,795,T_0_525_4,4.5
D_PT076,0,525,795,T_0_525_5,4.5
D_PT077,0,525,795,T_0_525_6,4.5
D_PT078,0,525,795,T_0_525_9,4.5
D_PT079,0,540,810,T_0_540_4,4.5
D_PT080,0,555,825,T_0_555_2,4.5
D_PT081,0,555,825,T_0_555_3,4.5
D_PT082,0,570,840,T_0_570_1,4.5
D_PT083,0,570,840,T_0_570_2,4.5
D_PT084,0,585,855,T_0_585_1,4.5
D_PT085,0,585,855,T_0_585_6,4.5
D_PT086,0,585,855,T_0_585_8,4.5
D_PT087,0,600,870,T_0_600_2,4.5
D_PT088,0,600,870,T_0_600_4,4.5
D_PT089,0,615,885,T_0_615_1,4.5
D_PT090,0,615,885,T_0_615_2,4.5
D_PT091,0,615,885,T_0_615_4,4.5
D_PT092,0,615,885,T_0_615_5,4.5
D_PT093,0,615,885,T_0_615_9,4.5
D_PT094,0,630,900,T_0_630_1,4.5
D_PT095,0,630,900,T_0_630_2,4.5
D_PT096,0,630,900,T_0_630_4,4.5
D_PT097,0,645,915,T_0_645_1,4.5
D_PT098,0,645,915,T_0_645_2,4.5
D_PT099,0,660,930,T_0_660_1,4.5
D_PT100,0,660,930,T_0_660_2,4.5
D_PT101,0,660,930,T_0_660_4,4.5
D_PT102,0,675,945,T_0_675_3,4.5
D_PT103,0,675,945,T_0_675_4,4.5
D_PT104,0,690,960,T_0_690_1,4.5
D_PT105,0,690,960,T_0_690_2,4.5
D_PT106,0,690,960,T_0_690_3,4.5
D_PT107,0,690,960,T_0_690_4,4.5
D_PT108,0,690,960,T_0_690_5,4.5
D_PT109,0,690,960,T_0_690_8,4.5
D_PT110,0,705,975,T_0_705_2,4.5
D_PT111,0,705,975,T_0_705_3,4.5
D_PT112,0,705,975,T_0_705_4,4.5
D_PT113,0,735,1005,T_0_735_1,4.5
D_PT114,0,735,1005,T_0_735_2,4.5
D_PT115,0,735,1005,T_0_735_3,4.5
D_PT116,0,750,1020,T_0_750_1,4.5
D_PT117,0,765,1035,T_0_765_2,4.5
D_PT118,0,780,1050,T_0_780_3,4.5
D_PT119,0,780,1050,T_0_780_4,4.5
D_PT120,0,795,1065,T_0_795_2,4.5
D_PT121,0,795,1065,T_0_795_3,4.5
D_PT122,0,795,1065,T_0_795_6,4.5
D_PT123,0,810,1080,T_0_810_1,4.5
D_PT124,0,810,1080,T_0_810_3,4.5
D_PT125,0,810,1080,T_0_810_6,4.5
D_PT126,0,825,1095,T_0_825_1,4.5
D_PT127,0,840,1110,T_0_840_1,4.5
D_PT128,0,840,1110,T_0_840_3,4.5
D_PT129,0,840,1110,T_0_840_4,4.5
D_PT130,0,840,1110,T_0_840_5,4.5
D_PT131,0,840,1110,T_0_840_6,4.5
D_PT132,0,840,1110,T_0_840_7,4.5
D_PT133,0,855,1125,T_0_855_4,4.5
D_PT134,0,855,1125,T_0_855_5,4.5
D_PT135,0,870,1140,T_0_870_1,4.5
D_PT136,0,870,1140,T_0_870_2,4.5
D_PT137,0,870,1140,T_0_870_4,4.5
D_PT138,0,870,1140,T_0_870_6,4.5
D_PT139,0,870,1140,T_0_870_8,4.5
D_PT140,0,870,1140,T_0_870_9,4.5
D_PT141,0,885,1155,T_0_885_1,4.5
D_PT142,0,885,1155,T_0_885_2,4.5
D_PT143,0,885,1155,T_0_885_3,4.5
D_PT144,0,885,1155,T_0_885_4,4.5
D_PT145,0,900,1170,T_0_900_1,4.5
D_PT146,0,900,1170,T_0_900_2,4.5
D_PT147,0,900,1170,T_0_900_3,4.5
D_PT148,0,900,1170,T_0_900_4,4.5
D_PT149,0,900,1170,T_0_900_5,4.5
D_PT150,0,915,1185,T_0_915_2,4.5
D_PT151,0,915,1185,T_0_915_3,4.5
D_PT152,0,930,1200,T_0_930_1,4.5
D_PT153,0,945,1215,T_0_945_2,4.5
D_PT154,0,1005,1275,T_0_1005_1,4.5
D_PT155,0,1035,1305,T_0_1035_1,4.5
D_PT156,0,1095,1365,T_0_1095_2,4.5
D_PT157,0,1110,1380,T_0_1110_1,4.5
D_PT158,0,1110,1380,T_0_1110_2,4.5
D_PT159,0,1155,1425,T_0_1155_2,4.5
D_PT160,0,1170,1439,T_0_1170_1,4.5
D_PT161,0,1170,1439,T_0_1170_2,4.5
D_PT162,0,1170,1439,T_0_1170_4,4.5
D_PT163,1,210,480,T_1_210_1,4.5
D_PT164,1,210,480,T_1_210_2,4.5
