driver_id,day,duty_start,duty_end,tour_ids,hours
D_PT001,0,977,1159,T0_001,3.0
D_PT002,0,397,625,T0_004,3.8
D_PT003,0,301,444,T0_005,2.4
D_PT004,0,841,1104,T0_007,4.4
D_PT005,0,994,1221,T0_009,3.8
D_PT006,0,508,778,T0_010,4.5
D_PT007,0,591,712,T0_011,2.0
D_PT008,0,549,724,T0_014,2.9
D_PT009,0,1041,1187,T0_015,2.4
D_PT010,0,1120,1398,T0_022,4.6
D_PT011,0,1103,1370,T0_023,4.5
D_PT012,0,525,662,T0_024,2.3
D_PT013,0,1038,1178,T0_026,2.3
D_PT014,0,1094,1239,T0_027,2.4
D_PT015,0,953,1166,T0_029,3.5
D_PT016,0,522,710,T0_031,3.1
D_PT017,0,523,726,T0_038,3.4
D_PT018,0,1040,1262,T0_041,3.7
D_PT019,0,716,1000,T0_045,4.7
D_PT020,0,796,1065,T0_048,4.5
D_PT021,0,683,859,T0_050,2.9
D_PT022,0,1087,1246,T0_053,2.6
D_PT023,0,753,937,T0_057,3.1
D_PT024,0,835,957,T0_058,2.0
D_PT025,1,956,1213,T1_000,4.3
D_PT026,1,1037,1321,T1_001,4.7
D_PT027,1,670,906,T1_003,3.9
D_PT028,1,346,533,T1_004,3.1
D_PT029,1,828,993,T1_005,2.8
D_PT030,1,838,985,T1_006,2.5
D_PT031,1,852,1011,T1_009,2.6
D_PT032,1,648,809,T1_010,2.7
D_PT033,1,338,540,T1_012,3.4
D_PT034,1,721,869,T1_013,2.5
D_PT035,1,656,854,T1_014,3.3
D_PT036,1,483,664,T1_015,3.0
D_PT037,1,845,986,T1_016,2.4
D_PT038,1,991,1128,T1_017,2.3
D_PT039,1,1054,1206,T1_018,2.5
D_PT040,1,790,977,T1_020,3.1
D_PT041,1,673,931,T1_022,4.3
D_PT042,1,1066,1362,T1_023,4.9
D_PT043,1,525,724,T1_024,3.3
D_PT044,1,628,880,T1_026,4.2
D_PT045,1,727,910,T1_027,3.0
D_PT046,1,484,690,T1_028,3.4
D_PT047,1,337,598,T1_029,4.3
D_PT048,1,517,693,T1_030,2.9
D_PT049,1,304,585,T1_031,4.7
