driver_id,day,duty_start,duty_end,tour_ids,hours
D_PT001,0,907,1033,T0_000,2.1
D_PT002,1,525,811,T1_002,4.8
D_PT003,1,994,1221,T1_003,3.8
D_PT004,3,989,1246,T3_001,4.3
D_PT005,3,395,590,T3_003,3.2
D_PT006,3,1120,1398,T3_004,4.6
D_PT007,4,1038,1178,T4_002,2.3
D_PT008,4,1094,1239,T4_003,2.4
D_PT009,1,494,743,T1_000,27.6
D_PT009,2,384,1194,T2_001|T2_004|T2_005,27.6
D_PT009,3,856,1370,T3_000|T3_005,27.6
D_PT009,4,677,1166,T4_004|T4_005,27.6
D_PT010,0,947,1206,T0_003,6.3
D_PT010,1,591,712,T1_005,6.3
D_PT011,0,301,634,T0_002|T0_005,7.2
D_PT011,2,1041,1187,T2_003,7.2
D_PT012,0,977,1159,T0_001,23.7
D_PT012,1,508,1104,T1_001|T1_004,23.7
D_PT012,2,549,724,T2_002,23.7
D_PT012,3,419,635,T3_002,23.7
D_PT012,4,342,662,T4_000|T4_001,23.7
D_PT013,0,397,625,T0_004,6.5
D_PT013,2,1071,1231,T2_000,6.5
