driver_id,driver_type,day,duty_id,duty_start,duty_end,tour_ids,work_min,hours,days_worked
D_PT001,PT,0,seed_s_T_0_225_1,225,495,T_0_225_1,270,4.5,1
D_PT002,PT,0,seed_s_T_0_225_2,225,495,T_0_225_2,270,4.5,1
D_PT003,PT,0,seed_s_T_0_240_1,240,510,T_0_240_1,270,4.5,1
D_PT004,PT,0,seed_s_T_0_240_2,240,510,T_0_240_2,270,4.5,1
D_PT005,PT,0,seed_s_T_0_270_1,270,540,T_0_270_1,270,4.5,1
D_PT006,PT,0,seed_s_T_0_285_1,285,555,T_0_285_1,270,4.5,1
D_PT007,PT,0,seed_s_T_0_285_3,285,555,T_0_285_3,270,4.5,1
D_PT008,PT,0,seed_s_T_0_300_1,300,570,T_0_300_1,270,4.5,1
D_PT009,PT,0,seed_s_T_0_300_2,300,570,T_0_300_2,270,4.5,1
D_PT010,PT,0,seed_s_T_0_300_3,300,570,T_0_300_3,270,4.5,1
D_PT011,PT,0,seed_s_T_0_300_4,300,570,T_0_300_4,270,4.5,1
D_PT012,PT,0,seed_s_T_0_300_6,300,570,T_0_300_6,270,4.5,1
D_PT013,PT,0,seed_s_T_0_300_7,300,570,T_0_300_7,270,4.5,1
D_PT014,PT,0,seed_s_T_0_300_10,300,570,T_0_300_10,270,4.5,1
D_PT015,PT,0,seed_s_T_0_315_2,315,585,T_0_315_2,270,4.5,1
D_PT016,PT,0,seed_s_T_0_330_4,330,600,T_0_330_4,270,4.5,1
D_PT017,PT,0,seed_s_T_0_330_5,330,600,T_0_330_5,270,4.5,1
D_PT018,PT,0,seed_s_T_0_330_8,330,600,T_0_330_8,270,4.5,1
D_PT019,PT,0,seed_s_T_0_330_9,330,600,T_0_330_9,270,4.5,1
D_PT020,PT,0,seed_s_T_0_330_10,330,600,T_0_330_10,270,4.5,1
D_PT021,PT,0,seed_s_T_0_345_1,345,615,T_0_345_1,270,4.5,1
D_PT022,PT,0,seed_s_T_0_345_3,345,615,T_0_345_3,270,4.5,1
D_PT023,PT,0,seed_s_T_0_345_4,345,615,T_0_345_4,270,4.5,1
D_PT024,PT,0,seed_s_T_0_345_7,345,615,T_0_345_7,270,4.5,1
D_PT025,PT,0,seed_s_T_0_360_2,360,630,T_0_360_2,270,4.5,1
D_PT026,PT,0,seed_s_T_0_360_3,360,630,T_0_360_3,270,4.5,1
D_PT027,PT,0,seed_s_T_0_360_4,360,630,T_0_360_4,270,4.5,1
D_PT028,PT,0,seed_s_T_0_375_1,375,645,T_0_375_1,270,4.5,1
D_PT029,PT,0,seed_s_T_0_390_2,390,660,T_0_390_2,270,4.5,1
D_PT030,PT,0,seed_s_T_0_390_3,390,660,T_0_390_3,270,4.5,1
D_PT031,PT,0,seed_s_T_0_390_4,390,660,T_0_390_4,270,4.5,1
D_PT032,PT,0,seed_s_T_0_390_5,390,660,T_0_390_5,270,4.5,1
D_PT033,PT,0,seed_s_T_0_390_6,390,660,T_0_390_6,270,4.5,1
D_PT034,PT,0,seed_s_T_0_390_8,390,660,T_0_390_8,270,4.5,1
D_PT035,PT,0,seed_s_T_0_390_9,390,660,T_0_390_9,270,4.5,1
D_PT036,PT,0,seed_s_T_0_390_10,390,660,T_0_390_10,270,4.5,1
D_PT037,PT,0,seed_s_T_0_390_11,390,660,T_0_390_11,270,4.5,1
D_PT038,PT,0,seed_s_T_0_405_1,405,675,T_0_405_1,270,4.5,1
D_PT039,PT,0,seed_s_T_0_405_2,405,675,T_0_405_2,270,4.5,1
D_PT040,PT,0,seed_s_T_0_405_3,405,675,T_0_405_3,270,4.5,1
D_PT041,PT,0,seed_s_T_0_405_7,405,675,T_0_405_7,270,4.5,1
D_PT042,PT,0,seed_s_T_0_405_9,405,675,T_0_405_9,270,4.5,1
D_PT043,PT,0,seed_s_T_0_405_10,405,675,T_0_405_10,270,4.5,1
D_PT044,PT,0,seed_s_T_0_405_11,405,675,T_0_405_11,270,4.5,1
D_PT045,PT,0,seed_s_T_0_420_2,420,690,T_0_420_2,270,4.5,1
D_PT046,PT,0,seed_s_T_0_420_5,420,690,T_0_420_5,270,4.5,1
D_PT047,PT,0,seed_s_T_0_420_6,420,690,T_0_420_6,270,4.5,1
D_PT048,PT,0,seed_s_T_0_435_1,435,705,T_0_435_1,270,4.5,1
D_PT049,PT,0,seed_s_T_0_435_2,435,705,T_0_435_2,270,4.5,1
D_PT050,PT,0,seed_s_T_0_450_1,450,720,T_0_450_1,270,4.5,1
D_PT051,PT,0,seed_s_T_0_465_2,465,735,T_0_465_2,270,4.5,1
D_PT052,PT,0,seed_s_T_0_480_1,480,750,T_0_480_1,270,4.5,1
D_PT053,PT,0,seed_s_T_0_495_1,495,765,T_0_495_1,270,4.5,1
D_PT054,PT,0,seed_s_T_0_495_2,495,765,T_0_495_2,270,4.5,1
D_PT055,PT,0,seed_s_T_0_495_4,495,765,T_0_495_4,270,4.5,1
D_PT056,PT,0,seed_s_T_0_495_7,495,765,T_0_495_7,270,4.5,1
D_PT057,PT,0,seed_s_T_0_495_8,495,765,T_0_495_8,270,4.5,1
D_PT058,PT,0,seed_s_T_0_495_9,495,765,T_0_495_9,270,4.5,1
D_PT059,PT,0,seed_s_T_0_495_10,495,765,T_0_495_10,270,4.5,1
D_PT060,PT,0,seed_s_T_0_510_1,510,780,T_0_510_1,270,4.5,1
D_PT061,PT,0,seed_s_T_0_510_2,510,780,T_0_510_2,270,4.5,1
