Driver,Type,Hours,Mon,Tue,Wed,Thu,Fri,Sat
D001,FTE,40.5,2er-split 04:45-19:45,1er 08:15-12:45,1er 13:00-17:30,1er 15:15-19:45,3er 08:15-23:00,1er 14:45-19:15
D002,FTE,45.0,3er 05:00-20:00,1er 08:15-12:45,1er 05:30-10:00,1er 08:15-12:45,1er 08:45-13:15,3er 05:00-19:30
D003,FTE,45.0,3er 05:00-20:15,1er 08:15-12:45,1er 08:30-13:00,1er 05:30-10:00,1er 08:45-13:15,3er 05:00-20:00
D004,FTE,40.5,1er 05:00-09:30,3er 07:45-22:45,1er 14:30-19:00,,1er 08:45-13:15,3er 05:00-19:30
D005,FTE,40.5,3er 07:15-22:30,1er 14:30-19:00,1er 08:30-13:00,1er 14:30-19:00,2er-reg 09:30-19:15,1er 06:15-10:45
D006,FTE,40.5,1er 05:15-09:45,1er 18:00-22:30,1er 14:45-19:15,1er 08:30-13:00,2er-reg 08:45-18:45,3er 06:00-21:15
D007,FTE,40.5,1er 05:15-09:45,2er-reg 08:45-18:45,1er 17:45-22:15,2er-reg 11:45-21:30,1er 14:45-19:15,2er-split 06:15-21:15
D008,FTE,40.5,1er 05:00-09:30,1er 17:30-22:00,1er 17:45-22:15,1er 14:30-19:00,2er-reg 08:45-18:45,3er 06:15-21:15
D009,FTE,40.5,,2er-reg 08:30-18:30,2er-reg 05:30-15:00,1er 08:15-12:45,1er 14:45-19:15,3er 06:15-21:15
D010,FTE,40.5,1er 05:15-09:45,1er 08:15-12:45,1er 10:15-14:45,1er 08:30-13:00,2er-reg 09:00-19:00,3er 06:15-21:15
D011,FTE,40.5,1er 05:15-09:45,2er-reg 08:15-18:15,1er 08:30-13:00,2er-reg 08:30-18:30,1er 14:45-19:15,2er-reg 07:00-16:30
D012,FTE,40.5,1er 05:30-10:00,2er-reg 08:30-18:30,1er 08:15-12:45,1er 14:45-19:15,2er-reg 10:00-19:30,2er-reg 07:00-16:45
D013,FTE,40.5,1er 05:30-10:00,1er 08:30-13:00,1er 13:00-17:30,1er 08:15-12:45,3er 05:15-19:45,2er-reg 06:45-16:45
D014,FTE,45.0,3er 07:45-22:45,1er 18:00-22:30,1er 10:15-14:45,1er 05:45-10:15,2er-reg 12:45-22:15,2er-reg 09:15-19:15
