Driver,Day,Tour_Instance_ID,Start,End,Hours,Block_ID,Block_Type
D001,Mon,14,04:45,09:15,4.50,B2S-T14,2er-split
D001,Mon,202,15:15,19:45,4.50,B2S-T14,2er-split
D001,Tue,320,08:15,12:45,4.50,B1-T320,1er
D001,Wed,572,13:00,17:30,4.50,B1-T572,1er
D001,Thu,796,15:15,19:45,4.50,B1-T796,1er
D001,Fri,922,08:15,12:45,4.50,B3-T922,3er
D001,Fri,1028,13:15,17:45,4.50,B3-T922,3er
D001,Fri,1141,18:30,23:00,4.50,B3-T922,3er
D001,Sat,1333,14:45,19:15,4.50,B1-T1333,1er
D002,Mon,16,05:00,09:30,4.50,B3-T16,3er
D002,Mon,125,10:30,15:00,4.50,B3-T16,3er
D002,Mon,210,15:30,20:00,4.50,B3-T16,3er
D002,Tue,321,08:15,12:45,4.50,B1-T321,1er
D002,Wed,482,05:30,10:00,4.50,B1-T482,1er
D002,Thu,707,08:15,12:45,4.50,B1-T707,1er
D002,Fri,950,08:45,13:15,4.50,B1-T950,1er
D002,Sat,1145,05:00,09:30,4.50,B3-T1145,3er
D002,Sat,1264,10:00,14:30,4.50,B3-T1145,3er
D002,Sat,1339,15:00,19:30,4.50,B3-T1145,3er
D003,Mon,18,05:00,09:30,4.50,B3-T18,3er
D003,Mon,124,10:30,15:00,4.50,B3-T18,3er
D003,Mon,213,15:45,20:15,4.50,B3-T18,3er
D003,Tue,319,08:15,12:45,4.50,B1-T319,1er
D003,Wed,514,08:30,13:00,4.50,B1-T514,1er
D003,Thu,675,05:30,10:00,4.50,B1-T675,1er
D003,Fri,951,08:45,13:15,4.50,B1-T951,1er
D003,Sat,1148,05:00,09:30,4.50,B3-T1148,3er
D003,Sat,1271,10:15,14:45,4.50,B3-T1148,3er
D003,Sat,1350,15:30,20:00,4.50,B3-T1148,3er
D004,Mon,23,05:00,09:30,4.50,B1-T23,1er
D004,Tue,311,07:45,12:15,4.50,B3-T311,3er
D004,Tue,378,13:15,17:45,4.50,B3-T311,3er
D004,Tue,458,18:15,22:45,4.50,B3-T311,3er
D004,Wed,585,14:30,19:00,4.50,B1-T585,1er
D004,Fri,952,08:45,13:15,4.50,B1-T952,1er
D004,Sat,1147,05:00,09:30,4.50,B3-T1147,3er
D004,Sat,1263,10:00,14:30,4.50,B3-T1147,3er
D004,Sat,1336,15:00,19:30,4.50,B3-T1147,3er
D005,Mon,69,07:15,11:45,4.50,B3-T69,3er
D005,Mon,154,12:30,17:00,4.50,B3-T69,3er
D005,Mon,245,18:00,22:30,4.50,B3-T69,3er
D005,Tue,398,14:30,19:00,4.50,B1-T398,1er
D005,Wed,523,08:30,13:00,4.50,B1-T523,1er
D005,Thu,782,14:30,19:00,4.50,B1-T782,1er
D005,Fri,955,09:30,14:00,4.50,B2R-T955,2er-reg
D005,Fri,1048,14:45,19:15,4.50,B2R-T955,2er-reg
D005,Sat,1186,06:15,10:45,4.50,B1-T1186,1er
D006,Mon,37,05:15,09:45,4.50,B1-T37,1er
D006,Tue,457,18:00,22:30,4.50,B1-T457,1er
D006,Wed,596,14:45,19:15,4.50,B1-T596,1er
D006,Thu,718,08:30,13:00,4.50,B1-T718,1er
D006,Fri,946,08:45,13:15,4.50,B2R-T946,2er-reg
D006,Fri,1038,14:15,18:45,4.50,B2R-T946,2er-reg
D006,Sat,1175,06:00,10:30,4.50,B3-T1175,3er
D006,Sat,1281,11:30,16:00,4.50,B3-T1175,3er
D006,Sat,1380,16:45,21:15,4.50,B3-T1175,3er
D007,Mon,38,05:15,09:45,4.50,B1-T38,1er
