driver_id,day,duty_start,duty_end,tour_ids,hours
D_PT001,0,907,1033,T0_000,2.1
D_PT002,0,977,1159,T0_001,3.0
D_PT003,0,488,634,T0_002,2.4
D_PT004,0,397,625,T0_004,3.8
D_PT005,0,994,1221,T0_009,3.8
D_PT006,1,591,712,T1_001,2.0
D_PT007,1,1071,1231,T1_002,2.7
D_PT008,1,549,724,T1_004,2.9
D_PT009,1,1041,1187,T1_005,2.4
D_PT010,2,419,635,T2_000,3.6
D_PT011,2,395,590,T2_001,3.2
D_PT012,2,1120,1398,T2_002,4.6
D_PT013,2,342,520,T2_005,3.0
D_PT014,2,1038,1178,T2_006,2.3
D_PT015,2,1094,1239,T2_007,2.4
D_PT016,3,443,653,T3_000,3.5
D_PT017,3,522,710,T3_001,3.1
D_PT018,3,1019,1313,T3_002,4.9
D_PT019,3,975,1136,T3_005,2.7
D_PT020,3,1129,1263,T3_009,2.2
D_PT021,4,896,1096,T4_003,3.3
D_PT022,4,521,768,T4_004,4.1
D_PT023,4,716,1000,T4_005,4.7
D_PT024,4,796,1065,T4_008,4.5
D_PT025,2,1103,1370,T2_003,23.2
D_PT025,3,744,1206,T3_006|T3_007,23.2
D_PT025,4,435,1262,T4_001|T4_006|T4_007,23.2
D_PT026,0,494,1104,T0_006|T0_007,38.5
D_PT026,1,384,1194,T1_003|T1_006|T1_007,38.5
D_PT026,2,525,1166,T2_004|T2_008|T2_009,38.5
D_PT026,3,523,1179,T3_003|T3_008,38.5
D_PT026,4,544,718,T4_002,38.5
D_PT027,4,532,986,T4_000|T4_009,6.6
D_PT028,0,301,1206,T0_003|T0_005|T0_008,26.7
D_PT028,1,508,1246,T1_000|T1_008|T1_009,26.7
D_PT028,3,910,1166,T3_004,26.7
