Fahrer-ID;Name;Montag;Dienstag;Mittwoch;Donnerstag;Freitag;Samstag;Gesamtstunden
FTE001;FTE FTE001;;;;;;;49,50
FTE002;FTE FTE002;;;;;;;49,50
FTE003;FTE FTE003;;;;;;;49,50
FTE004;FTE FTE004;;;;;;;49,50
FTE005;FTE FTE005;;;;;;;49,50
FTE006;FTE FTE006;;;;;;;49,50
FTE007;FTE FTE007;;;;;;;49,50
FTE008;FTE FTE008;;;;;;;49,50
FTE009;FTE FTE009;;;;;;;49,50
FTE010;FTE FTE010;;;;;;;49,50
FTE011;FTE FTE011;;;;;;;49,50
FTE012;FTE FTE012;;;;;;;49,50
FTE013;FTE FTE013;;;;;;;49,50
FTE014;FTE FTE014;;;;;;;49,50
FTE015;FTE FTE015;;;;;;;49,50
FTE016;FTE FTE016;;;;;;;49,50
FTE017;FTE FTE017;;;;;;;49,50
FTE018;FTE FTE018;;;;;;;49,50
FTE019;FTE FTE019;;;;;;;49,50
FTE020;FTE FTE020;;;;;;;49,50
FTE021;FTE FTE021;;;;;;;49,50
FTE022;FTE FTE022;;;;;;;49,50
FTE023;FTE FTE023;;;;;;;49,50
FTE024;FTE FTE024;;;;;;;49,50
FTE025;FTE FTE025;;;;;;;49,50
FTE026;FTE FTE026;;;;;;;49,50
FTE027;FTE FTE027;;;;;;;49,50
FTE028;FTE FTE028;;;;;;;49,50
FTE029;FTE FTE029;;;;;;;49,50
FTE030;FTE FTE030;;;;;;;49,50
FTE031;FTE FTE031;;;;;;;49,50
FTE032;FTE FTE032;;;;;;;49,50
FTE033;FTE FTE033;;;;;;;49,50
FTE034;FTE FTE034;;;;;;;49,50
FTE035;FTE FTE035;;;;;;;49,50
FTE036;FTE FTE036;;;;;;;49,50
FTE037;FTE FTE037;;;;;;;49,50
FTE038;FTE FTE038;;;;;;;49,50
FTE039;FTE FTE039;;;;;;;49,50
FTE040;FTE FTE040;;;;;;;49,50
FTE041;FTE FTE041;;;;;;;49,50
FTE042;FTE FTE042;;;;;;;49,50
FTE043;FTE FTE043;;;;;;;49,50
FTE044;FTE FTE044;;;;;;;49,50
FTE045;FTE FTE045;;;;;;;49,50
FTE046;FTE FTE046;;;;;;;49,50
FTE047;FTE FTE047;;;;;;;49,50
FTE048;FTE FTE048;;;;;;;49,50
FTE049;FTE FTE049;;;;;;;49,50
FTE050;FTE FTE050;;;;;;;49,50
FTE051;FTE FTE051;;;;;;;49,50
FTE052;FTE FTE052;;;;;;;49,50
FTE053;FTE FTE053;;;;;;;49,50
FTE054;FTE FTE054;;;;;;;49,50
FTE055;FTE FTE055;;;;;;;49,50
FTE056;FTE FTE056;;;;;;;49,50
FTE057;FTE FTE057;;;;;;;49,50
FTE058;FTE FTE058;;;;;;;49,50
FTE059;FTE FTE059;;;;;;;49,50
FTE060;FTE FTE060;;;;;;;49,50
FTE061;FTE FTE061;;;;;;;49,50
FTE062;FTE FTE062;;;;;;;49,50
FTE063;FTE FTE063;;;;;;;49,50
FTE064;FTE FTE064;;;;;;;49,50
FTE065;FTE FTE065;;;;;;;49,50
FTE066;FTE FTE066;;;;;;;45,00
FTE067;FTE FTE067;;;;;;;45,00
FTE068;FTE FTE068;;;;;;;45,00
FTE069;FTE FTE069;;;;;;;45,00
FTE070;FTE FTE070;;;;;;;45,00
FTE071;FTE FTE071;;;;;;;45,00
FTE072;FTE FTE072;;;;;;;45,00
FTE073;FTE FTE073;;;;;;;45,00
FTE074;FTE FTE074;;;;;;;45,00
FTE075;FTE FTE075;;;;;;;45,00
FTE076;FTE FTE076;;;;;;;45,00
FTE077;FTE FTE077;;;;;;;45,00
FTE078;FTE FTE078;;;;;;;45,00
FTE079;FTE FTE079;;;;;;;45,00
FTE080;FTE FTE080;;;;;;;45,00
FTE081;FTE FTE081;;;;;;;45,00
FTE082;FTE FTE082;;;;;;;45,00
FTE083;FTE FTE083;;;;;;;45,00
FTE084;FTE FTE084;;;;;;;45,00
FTE085;FTE FTE085;;;;;;;45,00
FTE086;FTE FTE086;;;;;;;45,00
FTE087;FTE FTE087;;;;;;;45,00
FTE088;FTE FTE088;;;;;;;45,00
FTE089;FTE FTE089;;;;;;;45,00
FTE090;FTE FTE090;;;;;;;45,00
FTE091;FTE FTE091;;;;;;;45,00
FTE092;FTE FTE092;;;;;;;45,00
FTE093;FTE FTE093;;;;;;;45,00
FTE094;FTE FTE094;;;;;;;45,00
FTE095;FTE FTE095;;;;;;;45,00
FTE096;FTE FTE096;;;;;;;45,00
FTE097;FTE FTE097;;;;;;;45,00
FTE098;FTE FTE098;;;;;;;45,00
FTE099;FTE FTE099;;;;;;;45,00
FTE100;FTE FTE100;;;;;;;45,00
FTE101;FTE FTE101;;;;;;;45,00
FTE102;FTE FTE102;;;;;;;45,00
FTE103;FTE FTE103;;;;;;;45,00
FTE104;FTE FTE104;;;;;;;45,00
FTE105;FTE FTE105;;;;;;;45,00
FTE106;FTE FTE106;;;;;;;45,00
FTE107;FTE FTE107;;;;;;;45,00
FTE108;FTE FTE108;;;;;;;45,00
FTE109;FTE FTE109;;;;;;;40,50
FTE110;FTE FTE110;;;;;;;40,50
FTE111;FTE FTE111;;;;;;;40,50
FTE112;FTE FTE112;;;;;;;40,50
FTE113;FTE FTE113;;;;;;;40,50
FTE114;FTE FTE114;;;;;;;40,50
FTE115;FTE FTE115;;;;;;;40,50
FTE116;FTE FTE116;;;;;;;40,50
FTE117;FTE FTE117;;;;;;;40,50
FTE118;FTE FTE118;;;;;;;40,50
FTE119;FTE FTE119;;;;;;;40,50
FTE120;FTE FTE120;;;;;;;40,50
FTE121;FTE FTE121;;;;;;;40,50
FTE122;FTE FTE122;;;;;;;40,50
PT001;PT PT001;;;;;;;36,00
PT002;PT PT002;;;;;;;36,00
PT003;PT PT003;;;;;;;27,00
PT004;PT PT004;;;;;;;27,00
PT005;PT PT005;;;;;;;27,00
PT006;PT PT006;;;;;;;27,00
PT007;PT PT007;;;;;;;27,00
PT008;PT PT008;;;;;;;27,00
PT009;PT PT009;;;;;;;22,50
PT010;PT PT010;;;;;;;22,50
PT011;PT PT011;;;;;;;22,50
PT012;PT PT012;;;;;;;18,00
PT013;PT PT013;;;;;;;18,00
PT014;PT PT014;;;;;;;18,00
PT015;PT PT015;;;;;;;18,00
PT016;PT PT016;;;;;;;18,00
PT017;PT PT017;;;;;;;18,00
PT018;PT PT018;;;;;;;13,50
PT019;PT PT019;;;;;;;13,50
PT020;PT PT020;;;;;;;13,50
PT021;PT PT021;;;;;;;13,50
PT022;PT PT022;;;;;;;13,50
PT023;PT PT023;;;;;;;9,00
PT024;PT PT024;;;;;;;9,00
PT025;PT PT025;;;;;;;9,00
PT026;PT PT026;;;;;;;9,00
